MarketSymbol,Symbol,IssuerName,Sector,Industry,IPO,Market
NASDAQ:PIH,PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,NASDAQ
NASDAQ:TURN,TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,NASDAQ
NASDAQ:FLWS,FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,NASDAQ
LSE:OPM,OPM,1PM PLC,Financial Services,Financials,19/08/2013,LSE
LSE:SPA,SPA,1SPATIAL PLC,Industrial Goods & Services,Industrials,20/09/2006,LSE
NASDAQ:FCCY,FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,NASDAQ
NASDAQ:SRCE,SRCE,1st Source Corporation,Finance,Major Banks,n/a,NASDAQ
LSE:C21,C21,21ST CENTURY TECHNOLOGY PLC,Industrial Goods & Services,Industrials,15/04/2005,LSE
NASDAQ:VNET,VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,NASDAQ
NASDAQ:TWOU,TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,NASDAQ
NYSE:DDD,DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,n/a,NYSE
LSE:III,III,3I GROUP PLC,Financial Services,Financials,16/07/2007,LSE
LSE:3IN,3IN,3I INFRASTRUCTURE PLC,Financial Services,Financials,08/07/2015,LSE
NYSE:MMM,MMM,3M Company,Health Care,Medical/Dental Instruments,n/a,NYSE
LSE:DDDD,DDDD,4D PHARMA PLC,Healthcare,Health Care,18/02/2014,LSE
LSE:FOUR,FOUR,4IMPRINT GROUP PLC,Media,Consumer Services,18/12/2006,LSE
NYSE:WBAI,WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,2013,NYSE
NASDAQ:JOBS,JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,NASDAQ
NYSE:WUBA,WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",2013,NYSE
LSE:SIXH,SIXH,600 GROUP PLC,Industrial Goods & Services,Industrials,16/04/1996,LSE
LSE:7DIG,7DIG,7DIGITAL GROUP PLC,Retail,Consumer Services,10/06/2014,LSE
