Symbol,IssuerName,Sector,Industry,IPO
OPM,1PM PLC,Financial Services,Financials,19/08/2013
SPA,1SPATIAL PLC,Industrial Goods & Services,Industrials,20/09/2006
C21,21ST CENTURY TECHNOLOGY PLC,Industrial Goods & Services,Industrials,15/04/2005
III,3I GROUP PLC,Financial Services,Financials,16/07/2007
3IN,3I INFRASTRUCTURE PLC,Financial Services,Financials,08/07/2015
DDDD,4D PHARMA PLC,Healthcare,Health Care,18/02/2014
FOUR,4IMPRINT GROUP PLC,Media,Consumer Services,18/12/2006
SIXH,600 GROUP PLC,Industrial Goods & Services,Industrials,16/04/1996
7DIG,7DIGITAL GROUP PLC,Retail,Consumer Services,10/06/2014
888,888 HOLDINGS PLC,Travel & Leisure,Consumer Services,11/10/2006
88E,88 ENERGY LIMITED,Oil & Gas,Oil & Gas,06/03/2015
AA.,AA PLC,Industrial Goods & Services,Industrials,26/06/2014
ABBY,ABBEY PLC,Personal & Household Goods,Consumer Goods,21/09/2005
ABC,ABCAM PLC,Healthcare,Health Care,15/11/2010
ABDP,AB DYNAMICS PLC,Industrial Goods & Services,Industrials,22/05/2013
AAIF,ABERDEEN ASIAN INCOME FUND LD,Financial Services,Financials,12/12/2006
AAS,ABERDEEN ASIAN SMLR CO INV TST PLC,Financial Services,Financials,12/12/2006
ADIG,ABERDEEN DIVERSIFIED INC & GWTH TST,Financial Services,Financials,31/10/2003
AEMC,ABERDEEN EMERG MTKS INV CO,Financial Services,Financials,10/11/2009
AFMC,ABERDEEN FRONT MKTS INV CO LTD ,Financial Services,Financials,15/06/2007
AJIT,ABERDEEN JAPAN INV TST PLC,Financial Services,Financials,10/11/2006
ALAI,ABERDEEN LATIN AMERICAN INC FUND LD,Financial Services,Financials,16/08/2010
ABD,ABERDEEN NEW DAWN INV TST PLC,Financial Services,Financials,03/09/2013
ANII,ABERDEEN NEW INDIA INV TRUST PLC ,Financial Services,Financials,22/12/2004
ANW,ABERDEEN NEW THAI INV TST PLC,Financial Services,Financials,21/06/2005
APEF,ABERDEEN PRIVATE EQUITY FUND LD,Financial Services,Financials,09/07/2007
ASCI,ABERDEEN SMALLER CO.INC.TST PLC ,Financial Services,Financials,17/09/1999
ASL,ABERFORTH SMALLER COMPANIES TST PLC,Financial Services,Financials,31/10/2003
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST,Financial Services,Financials,03/07/2017
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST,Financial Services,Financials,03/07/2017
ABZA,ABZENA PLC,Healthcare,Health Care,10/07/2014
ACA,ACACIA MINING PLC,Basic Resources,Basic Materials,19/03/2010
ACL,ACAL PLC,Industrial Goods & Services,Industrials,02/12/2005
ACC,ACCESS INTELLIGENCE PLC,Technology,Technology,01/12/2003
ACSO,ACCESSO TECHNOLOGY GROUP PLC,Technology,Technology,24/04/2002
ACRL,ACCROL GROUP HOLDINGS PLC,Personal & Household Goods,Consumer Goods,10/06/2016
AXS,ACCSYS TECHNOLOGIES PLC,Construction & Materials,Industrials,12/09/2014
ACD,ACENCIA DEBT STRATEGIES LTD,Financial Services,Financials,24/11/2005
ACH,ACHP PLC,Insurance,Financials,18/12/2007
AIF,ACORN INCOME FUND LD,,,13/09/1999
AIFZ,ACORN INCOME FUND LD,,,01/02/2017
AHCG,ACTION HOTELS PLC,Travel & Leisure,Consumer Services,23/12/2013
AEG,ACTIVE ENERGY GROUP PLC,Oil & Gas,Oil & Gas,02/07/2007
ACT,ACTUAL EXPERIENCE PLC,Technology,Technology,13/02/2014
ADAM,ADAMAS FINANCE ASIA LD,Financial Services,Financials,15/07/2014
ADA,ADAMS PLC,Real Estate,Financials,12/03/2013
AD4,ADEPT4  PLC,Technology,Technology,02/04/2013
ADT,ADEPT TELECOM PLC,Telecommunications,Telecommunications,19/09/2006
ADES,ADES INTERNATIONAL HOLDING LTD,Oil & Gas,Oil & Gas,12/05/2017
ADM,ADMIRAL GROUP PLC,Insurance,Financials,20/12/2004
AMS,ADVANCED MEDICAL SOLUTIONS GRP PLC,Healthcare,Health Care,30/04/2002
AVO,ADVANCED ONCOTHERAPY PLC,Healthcare,Health Care,01/07/2016
AFN,ADVFN PLC,Financial Services,Financials,21/08/2014
87FZ,AECI LD,Chemicals,Basic Materials,28/06/2002
AEO,AEOREMA COMMUNICATIONS PLC,Media,Consumer Services,29/06/2009
AEWL,AEW UK LONG LEASE REIT PLC,Real Estate,Financials,06/06/2017
AEWU,AEW UK REIT PLC,Real Estate,Financials,12/05/2015
AFRK,AFARAK GROUP PLC,Basic Resources,Basic Materials,26/07/2010
AFC,AFC ENERGY PLC,Oil & Gas,Oil & Gas,24/04/2007
AFHP,AFH FINANCIAL GROUP PLC,Financial Services,Financials,30/06/2014
AFRB,AFI DEVELOPMENT PLC,Real Estate,Financials,05/07/2010
AOF,AFRICA OPPORTUNITY FUND LD,Financial Services,Financials,24/07/2007
