Symbol,IssuerName,Sector,Industry,IPO
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a
SRCE,1st Source Corporation,Finance,Major Banks,n/a
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004
CAFD,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,2015
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,n/a
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,n/a
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals,1972
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,1992
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a
ABIL,Ability Inc.,Finance,Business Services,2014
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,2004
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013
ANCX,Access National Corporation,Finance,Savings Institutions,n/a
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2011
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,n/a
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,2014
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,n/a
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015
ACNB,ACNB Corporation,Finance,Major Banks,n/a
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2006
SQZZ,Active Alts Contrarian ETF,n/a,n/a,n/a
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a
ACTA,Actua Corporation,Technology,EDP Services,n/a
ACXM,Acxiom Corporation,Technology,EDP Services,n/a
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,n/a
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,n/a
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,2015
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,1986
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,1994
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015
AAAP,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,2015
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,n/a
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,1995
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,n/a
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014
AEGN,Aegion Corp,Basic Industries,Water Supply,n/a
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,2016
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,1997
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,n/a
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013
