Symbol,IssuerName,Sector,Industry,IPO
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,n/a
MMM,3M Company,Health Care,Medical/Dental Instruments,n/a
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,2013
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",2013
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,n/a
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,2014
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,2014
AIR,AAR Corp.,Capital Goods,Aerospace,n/a
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,n/a
ABB,ABB Ltd,Consumer Durables,Electrical Products,n/a
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,n/a
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,2012
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,n/a
GCH,"Aberdeen Greater China Fund, Inc.",n/a,n/a,1992
JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,n/a,1992
SGF,"Aberdeen Singapore Fund, Inc.",n/a,n/a,1990
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,n/a
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,n/a
ACN,Accenture plc,Miscellaneous,Business Services,2001
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,n/a
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,2007
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,n/a
AYI,Acuity Brands Inc,Consumer Durables,Building Products,n/a
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys,2016
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,n/a
PEO,"Adams Natural Resources Fund, Inc.",n/a,n/a,n/a
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,2011
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,2016
ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services,n/a
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,n/a
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,2016
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging,2014
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors,n/a
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,2016
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production,n/a
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,n/a,2003
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,n/a,2007
LCM,Advent/Claymore Enhanced Growth & Income Fund,n/a,n/a,2005
ACM,AECOM,Consumer Services,Military/Government/Technical,2007
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing,2006
AEB,Aegon NV,Finance,Life Insurance,n/a
AED,Aegon NV,Finance,Life Insurance,n/a
AEG,Aegon NV,Finance,Life Insurance,n/a
AEH,Aegon NV,Finance,Life Insurance,n/a
AEK,Aegon NV,Finance,Life Insurance,n/a
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,2006
HIVE,"Aerohive Networks, Inc.",Technology,EDP Services,2014
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,n/a
AET,Aetna Inc.,Health Care,Medical Specialities,n/a
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,n/a
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,n/a
AFSD,Aflac Incorporated,Finance,Accident &Health Insurance,n/a
MITT,"AG Mortgage Investment Trust, Inc.",n/a,n/a,2011
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,n/a
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,1999
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,n/a
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,n/a
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals,n/a
AL,Air Lease Corporation,Technology,Diversified Commercial Services,2011
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,n/a
AYR,Aircastle Limited,Technology,Diversified Commercial Services,2006
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,n/a
ALP^O.CL,Alabama Power Company,n/a,n/a,n/a
ALP^Q,Alabama Power Company,n/a,n/a,n/a
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,n/a
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,2015
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,n/a
AIN,Albany International Corporation,Basic Industries,Textiles,n/a
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,n/a
AA,Alcoa Corporation,Basic Industries,Aluminum,2016
ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a
ALR^B,Alere Inc.,n/a,n/a,n/a
ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate,n/a
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,n/a
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,n/a
ARE^D,"Alexandria Real Estate Equities, Inc.",n/a,n/a,n/a
AQN,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central,2016
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,2014
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,n/a
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,n/a
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,2013
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,2013
AGN^A,Allergan plc.,n/a,n/a,n/a
ALE,"Allete, Inc.",Public Utilities,Power Generation,n/a
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a,2002
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,2001
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,2002
AOI,"Alliance One International, Inc.",Consumer Services,Farming/Seeds/Milling,n/a
AWF,Alliance World Dollar Government Fund II,n/a,n/a,1993
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,n/a
LNT,Alliant Energy Corporation,Public Utilities,Power Generation,n/a
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,n/a,n/a,2017
NCV,AllianzGI Convertible & Income Fund,n/a,n/a,2003
NCZ,AllianzGI Convertible & Income Fund II,n/a,n/a,2003
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,2015
NIE,AllianzGI Equity & Convertible Income Fund,n/a,n/a,2007
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services,2005
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,2012
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,n/a
ALL^A,Allstate Corporation (The),n/a,n/a,n/a
ALL^B,Allstate Corporation (The),n/a,n/a,n/a
ALL^C,Allstate Corporation (The),n/a,n/a,n/a
ALL^D,Allstate Corporation (The),n/a,n/a,n/a
ALL^E,Allstate Corporation (The),n/a,n/a,n/a
ALL^F,Allstate Corporation (The),n/a,n/a,n/a
ALLY,Ally Financial Inc.,Finance,Finance: Consumer Services,2014
ALLY^A,Ally Financial Inc.,n/a,n/a,n/a
ALDW,"Alon USA Partners, LP",Energy,Integrated oil Companies,2012
AGD,Alpine Global Dynamic Dividend Fund,n/a,n/a,2006
AWP,Alpine Global Premier Properties Fund,n/a,n/a,2007
AOD,Alpine Total Dynamic Dividend Fund,n/a,n/a,2007
AYX,"Alteryx, Inc.",Technology,Computer Software: Prepackaged Software,2017
ATUS,"Altice USA, Inc.",Consumer Services,Television Services,2017
RESI,Altisource Residential Corporation,Finance,Real Estate,n/a
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,n/a
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,2001
AMBR,"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software,2014
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),2013
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment,2013
AMFW,Amec Plc Ord,Consumer Services,Military/Government/Technical,2014
AEE,Ameren Corporation,Public Utilities,Power Generation,n/a
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction,2010
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,n/a
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,n/a
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,2011
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,n/a
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,2004
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,n/a
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,n/a
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,2003
AXP,American Express Company,Finance,Finance: Consumer Services,n/a
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,n/a
AFGE,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,2014
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,2015
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,2013
AMH^A,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,n/a
AMH^B,American Homes 4 Rent,n/a,n/a,n/a
AMH^C,American Homes 4 Rent,n/a,n/a,n/a
AMH^D,American Homes 4 Rent,n/a,n/a,n/a
AMH^E,American Homes 4 Rent,n/a,n/a,n/a
AMH^F,American Homes 4 Rent,n/a,n/a,n/a
AMH^G,American Homes 4 Rent,n/a,n/a,n/a
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,n/a
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a
AMID,"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution,2011
ARL,"American Realty Investors, Inc.",Finance,Real Estate,n/a
ARA,"American Renal Associates Holdings, Inc",Health Care,Hospital/Nursing Management,2016
AWR,American States Water Company,Public Utilities,Water Supply,n/a
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,n/a
AMT^B,American Tower Corporation (REIT),n/a,n/a,n/a
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,n/a
AWK,American Water Works,Public Utilities,Water Supply,2008
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores,n/a
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,n/a
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,n/a
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,2012
AMN,AMN Healthcare Services Inc,Technology,Professional Services,n/a
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls,n/a
APH,Amphenol Corporation,Capital Goods,Electrical Products,n/a
BETR,"Amplify Snack Brands, inc.",Consumer Non-Durables,Packaged Foods,2015
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines,n/a
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,n/a
AFSI^A,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^B,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^C,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^D,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^E,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^F,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSS,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,2015
AFST,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,2015
AEUA,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,2015
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,n/a
ANDV,Andeavor,Energy,Integrated oil Companies,n/a
ANDX,Andeavor Logistics LP,Energy,Natural Gas Distribution,2011
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,n/a
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution),n/a
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,n/a
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts,n/a
NLY^C,Annaly Capital Management Inc,n/a,n/a,n/a
